Entity,Code,Year,Parkinson's disease,Malaria,Maternal disorders,HIV/AIDS,Tuberculosis,Cardiovascular diseases,Alcohol use disorders,Diabetes mellitus,Chronic kidney disease,Road injuries
African Region (WHO),,2010,12232,804031,100748,1056095,422921,889338,5835,137205,102208,171282
African Region (WHO),,2011,12632,764244,100550,987518,413729,908139,5982,140898,104596,171257
African Region (WHO),,2012,13039,727320,99221,915689,408150,928397,6134,144621,107177,172395
African Region (WHO),,2013,13440,694438,97999,852253,405933,947673,6303,148440,110019,173218
African Region (WHO),,2014,13760,655614,96746,804418,405962,968596,6472,152765,113314,175064
African Region (WHO),,2015,14219,631381,94701,768624,402753,996806,6603,157094,116436,177278
African Region (WHO),,2016,14537,604566,93796,742638,395453,1016603,6735,160957,119305,177824
African Region (WHO),,2017,14956,578326,92905,707227,385580,1039287,6898,164342,121844,179171
African Region (WHO),,2018,15435,578552,92260,660555,375906,1061135,7078,166817,124402,180937
African Region (WHO),,2019,15930,590252,91905,635623,369065,1085321,7261,170540,127158,182243
Australia,AUS,2010,1882,0,19,83,79,44759,510,3906,3699,1665
Australia,AUS,2011,1948,0,19,103,80,44991,511,3900,3862,1617
Australia,AUS,2012,1983,0,19,74,77,44416,514,3803,4016,1568
Australia,AUS,2013,2020,0,11,69,80,44255,522,3657,4210,1515
Australia,AUS,2014,2085,0,13,67,82,45146,536,3653,4450,1523
Australia,AUS,2015,2150,0,12,64,85,46230,553,3720,4682,1549
Australia,AUS,2016,2178,0,14,71,85,46468,568,3729,4787,1545
Australia,AUS,2017,2237,0,13,71,88,47986,575,3862,4867,1558
Australia,AUS,2018,2331,0,13,71,92,50065,583,4071,5061,1584
Australia,AUS,2019,2403,0,13,71,95,51615,590,4239,5207,1595
Bahamas,BHS,2010,13,0,4,126,7,669,15,114,84,54
Bahamas,BHS,2011,13,0,5,124,7,684,15,115,88,55
Bahamas,BHS,2012,13,0,5,126,7,691,15,117,91,55
Bahamas,BHS,2013,14,0,5,122,6,703,15,119,94,55
Bahamas,BHS,2014,14,0,4,125,7,725,16,122,98,56
Bahamas,BHS,2015,15,0,4,124,7,759,16,127,101,56
Bahamas,BHS,2016,15,0,4,122,7,787,17,132,103,56
Bahamas,BHS,2017,16,0,4,120,7,811,17,136,106,56
Bahamas,BHS,2018,16,0,4,118,7,839,18,141,109,56
Bahamas,BHS,2019,17,0,4,116,7,869,18,146,112,56
Brazil,BRA,2010,6893,372,2285,15502,6347,340876,9093,50718,31167,48796
Brazil,BRA,2011,7241,307,2230,15397,6203,346499,9176,52766,32609,49449
Brazil,BRA,2012,7487,287,2209,15316,6029,347193,9126,53744,33482,49398
Brazil,BRA,2013,7791,214,2249,15671,5957,351474,9102,55098,34746,48900
Brazil,BRA,2014,8089,151,2241,15675,5854,355512,9010,56290,35868,48168
Brazil,BRA,2015,8447,114,2188,15849,5807,363287,8958,57990,37342,46729
Brazil,BRA,2016,8828,97,2178,15812,5841,375893,9002,60293,39230,46213
Brazil,BRA,2017,8990,122,2161,15873,5681,377468,9092,61107,39789,44794
Brazil,BRA,2018,9248,121,1993,15727,5551,386886,9422,63146,40931,44690
Brazil,BRA,2019,9564,118,1935,15561,5485,397993,9705,65366,42336,44529
Cameroon,CMR,2010,376,23659,3310,34777,7721,21515,145,4016,3813,5603
Cameroon,CMR,2011,390,22623,3312,34764,7797,22200,151,4186,3984,5779
Cameroon,CMR,2012,402,20835,3262,34372,7808,22835,156,4325,4100,5878
Cameroon,CMR,2013,420,20602,3241,34931,7794,23423,162,4470,4220,6043
Cameroon,CMR,2014,430,20685,3218,35530,7709,23917,166,4581,4324,6169
Cameroon,CMR,2015,448,20962,3119,34326,7435,24650,169,4679,4395,6093
Cameroon,CMR,2016,454,22810,3067,31500,7257,24881,172,4775,4491,6266
Cameroon,CMR,2017,464,22810,2996,27800,6990,25300,176,4874,4562,6310
Cameroon,CMR,2018,485,22304,2945,24538,6744,25951,182,5044,4683,6371
Cameroon,CMR,2019,502,22652,2917,23172,6551,26491,187,5187,4783,6401
Canada,CAN,2010,3215,0,27,330,121,68029,1128,6697,5512,2555
Canada,CAN,2011,3282,0,23,302,119,67580,1168,6362,5732,2443
Canada,CAN,2012,3368,0,26,277,121,68155,1202,6186,5974,2407
Canada,CAN,2013,3449,0,26,233,124,68846,1247,6006,6200,2370
Canada,CAN,2014,3551,0,27,273,128,70379,1291,6000,6454,2354
Canada,CAN,2015,3617,0,29,272,132,71553,1321,6065,6607,2365
Canada,CAN,2016,3687,0,28,269,133,73558,1326,6347,6730,2436
Canada,CAN,2017,3776,0,27,265,136,75546,1335,6594,6881,2452
Canada,CAN,2018,3990,0,25,259,144,79970,1349,7078,7266,2467
Canada,CAN,2019,4123,0,25,254,149,82644,1361,7420,7501,2479
England,,2012,5712,0,43,215,313,145821,1305,4671,5358,2222
England,,2013,5879,0,43,225,316,146439,1304,4723,5621,2199
England,,2014,5986,0,35,172,316,144932,1313,4691,5825,2197
England,,2015,6183,0,28,217,318,145885,1313,4772,6026,2183
England,,2016,6256,0,32,212,313,144616,1326,4793,6107,2174
England,,2017,6351,0,25,200,312,144867,1342,4858,6186,2170
England,,2018,6564,0,30,195,317,150402,1334,5011,6243,2212
England,,2019,6694,0,31,191,319,153285,1337,5102,6288,2232
Europe & Central Asia (WB),,2010,73404,1,1731,30524,40045,4147008,73799,156845,142375,103696
Europe & Central Asia (WB),,2011,74663,1,1650,31473,36526,4054936,69821,157653,146417,98578
Europe & Central Asia (WB),,2012,76724,0,1517,31374,34180,4038866,67453,159976,152170,95325
Europe & Central Asia (WB),,2013,78064,0,1520,29344,31772,4006647,66212,161721,156406,91826
Europe & Central Asia (WB),,2014,79228,0,1540,32144,29883,3995200,66068,164628,160827,90030
Europe & Central Asia (WB),,2015,81868,0,1526,34239,29218,4087572,66072,171636,168010,90424
Europe & Central Asia (WB),,2016,82641,0,1468,36462,27333,4067394,65822,174421,170649,87349
Europe & Central Asia (WB),,2017,83505,0,1424,33604,25723,4056046,65394,177799,171637,85132
Europe & Central Asia (WB),,2018,85049,0,1401,32319,25274,4126815,66606,179235,174089,85106
Europe & Central Asia (WB),,2019,86515,0,1374,31104,24940,4185904,67596,181869,177205,84990
European Region (WHO),,2010,74056,1,1741,30557,40118,4171252,73875,160190,144919,104511
European Region (WHO),,2011,75342,1,1657,31515,36593,4079414,69897,161012,149061,99368
European Region (WHO),,2012,77426,0,1528,31421,34244,4063606,67530,163363,154895,96098
European Region (WHO),,2013,78782,0,1535,29392,31832,4031293,66288,165098,159181,92594
European Region (WHO),,2014,79964,0,1552,32184,29942,4020270,66145,168034,163665,90790
